gen,fitness,recall,auc,layers,classif_threshold,lr,batch_size,architecture
0,0.8685933947563171,0.9033613403638204,0.8338254491488138,21,0.25,0.001,32,"[32.25, 0.001, 16.1, 0.1, -1.0, 32.2, 0.0, -1.0, 32.3, 0.1, -1.0, 32.3, 0.0, -1.0, 16.4, 0.0, -1.0, 64.4, 0.05, -1.0, 64.1, 0.05, -1.0]"
0,0.7848006884256999,0.7787114977836609,0.7908898790677389,15,0.5,0.1,16,"[16.5, 0.1, 64.1, 0.0, -1.0, 16.2, 0.05, -1.0, 16.2, 0.05, -1.0, 64.2, 0.1, -1.0, 32.1, 0.1, -1.0]"
0,0.8078028758366903,0.7948179443677267,0.8207878073056539,27,0.5,0.01,8,"[8.5, 0.01, 16.2, 0.1, -1.0, 16.1, 0.05, -1.0, 16.1, 0.05, -1.0, 32.2, 0.0, -1.0, 64.3, 0.1, -1.0, 64.2, 0.1, -1.0, 32.3, 0.0, -1.0, 16.3, 0.05, -1.0, 16.2, 0.05, -1.0]"
0,0.81327419479688,0.8088235259056091,0.817724863688151,24,0.5,0.01,8,"[8.5, 0.01, 16.4, 0.0, -1.0, 32.4, 0.05, -1.0, 64.3, 0.1, -1.0, 16.4, 0.05, -1.0, 16.2, 0.05, -1.0, 64.4, 0.0, -1.0, 16.2, 0.1, -1.0, 64.4, 0.1, -1.0]"
0,0.7875812153021495,0.7871148586273193,0.7880475719769796,30,0.5,0.001,8,"[8.5, 0.001, 32.2, 0.1, -1.0, 64.1, 0.1, -1.0, 32.2, 0.1, -1.0, 32.4, 0.05, -1.0, 32.2, 0.05, -1.0, 32.2, 0.0, -1.0, 32.2, 0.1, -1.0, 64.1, 0.05, -1.0, 16.4, 0.1, -1.0, 32.3, 0.1, -1.0]"
0,0.7258535921573639,0.581932783126831,0.8697744011878967,6,0.75,0.001,16,"[16.75, 0.001, 16.2, 0.0, -1.0, 32.2, 0.0, -1.0]"
0,0.8243146340052286,0.8158263365427653,0.832802931467692,15,0.5,0.001,16,"[16.5, 0.001, 16.4, 0.05, -1.0, 64.3, 0.05, -1.0, 16.2, 0.0, -1.0, 16.4, 0.05, -1.0, 16.1, 0.0, -1.0]"
0,0.7857970496018727,0.7724089622497559,0.7991851369539896,30,0.5,0.01,8,"[8.5, 0.01, 32.4, 0.0, -1.0, 64.2, 0.1, -1.0, 32.1, 0.05, -1.0, 64.3, 0.05, -1.0, 16.4, 0.0, -1.0, 16.2, 0.1, -1.0, 16.3, 0.05, -1.0, 64.1, 0.1, -1.0, 16.1, 0.1, -1.0, 64.1, 0.05, -1.0]"
0,0.7285792827606201,0.7289916078249613,0.7281669576962789,30,0.5,0.1,32,"[32.5, 0.1, 32.3, 0.05, -1.0, 16.2, 0.1, -1.0, 64.3, 0.1, -1.0, 32.4, 0.05, -1.0, 64.3, 0.0, -1.0, 32.2, 0.05, -1.0, 64.1, 0.0, -1.0, 16.2, 0.05, -1.0, 32.1, 0.0, -1.0, 16.4, 0.0, -1.0]"
0,0.8674053947130839,0.9229692022005717,0.8118415872255961,6,0.25,0.1,16,"[16.25, 0.1, 32.1, 0.05, -1.0, 64.1, 0.05, -1.0]"
0,0.6325776825348536,0.47198880712191266,0.7931665579477946,27,0.75,0.1,32,"[32.75, 0.1, 64.3, 0.05, -1.0, 16.4, 0.05, -1.0, 32.1, 0.0, -1.0, 64.2, 0.05, -1.0, 64.2, 0.05, -1.0, 32.3, 0.0, -1.0, 16.3, 0.0, -1.0, 32.4, 0.0, -1.0, 32.1, 0.05, -1.0]"
0,0.8212869763374329,0.8109243710835775,0.8316495815912882,12,0.5,0.1,16,"[16.5, 0.1, 64.1, 0.05, -1.0, 32.4, 0.05, -1.0, 16.3, 0.1, -1.0, 64.3, 0.1, -1.0]"
0,0.7096250355243683,0.7002801100413004,0.7189699610074362,30,0.5,0.1,32,"[32.5, 0.1, 16.3, 0.1, -1.0, 16.1, 0.1, -1.0, 16.2, 0.0, -1.0, 16.2, 0.0, -1.0, 64.2, 0.1, -1.0, 16.1, 0.1, -1.0, 64.1, 0.05, -1.0, 64.3, 0.0, -1.0, 64.4, 0.05, -1.0, 16.2, 0.05, -1.0]"
0,0.8971765240033468,0.9285714228947958,0.8657816251118978,6,0.25,0.1,32,"[32.25, 0.1, 32.2, 0.05, -1.0, 16.3, 0.1, -1.0]"
0,0.662068098783493,0.5126050313313802,0.8115311662356058,9,0.75,0.001,32,"[32.75, 0.001, 32.4, 0.1, -1.0, 32.3, 0.1, -1.0, 32.4, 0.05, -1.0]"
0,0.7503372530142466,0.6267506877581278,0.8739238182703654,6,0.75,0.01,32,"[32.75, 0.01, 32.2, 0.1, -1.0, 16.1, 0.1, -1.0]"
0,0.6754705309867859,0.523109237353007,0.8278318246205648,3,0.75,0.1,8,"[8.75, 0.1, 16.1, 0.0, -1.0]"
0,0.7011583844820659,0.5504201650619507,0.851896603902181,12,0.75,0.1,32,"[32.75, 0.1, 32.1, 0.05, -1.0, 64.4, 0.1, -1.0, 32.3, 0.05, -1.0, 32.3, 0.0, -1.0]"
0,0.7499955892562866,0.7429971893628439,0.7569939891497294,15,0.5,0.1,8,"[8.5, 0.1, 32.2, 0.0, -1.0, 32.2, 0.0, -1.0, 64.4, 0.05, -1.0, 32.3, 0.05, -1.0, 32.1, 0.0, -1.0]"
0,0.8180393576622009,0.8032213052113851,0.8328574101130167,18,0.5,0.001,8,"[8.5, 0.001, 32.1, 0.05, -1.0, 32.3, 0.1, -1.0, 32.3, 0.0, -1.0, 16.3, 0.05, -1.0, 32.2, 0.05, -1.0, 16.1, 0.0, -1.0]"
